number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
71,0.5244474023665563,2026-05-11 02:44:21.095385,2026-05-11 02:44:23.120821,0 days 00:00:02.025436,0.7544272190444123,1.2129769792185852,0.04827253209727507,2,34,81,4.613812379975136,31.019538358632673,1.1789297487912676,0.6901344512361797,COMPLETE
72,0.527598792743821,2026-05-11 02:44:23.122830,2026-05-11 02:44:25.158976,0 days 00:00:02.036146,0.7110211926333037,0.8087524764414089,0.0413211334950305,2,35,84,4.82413177337861,34.19036851128695,1.3120971573887794,0.6695776968024674,COMPLETE
73,0.5271589544875832,2026-05-11 02:44:25.159980,2026-05-11 02:44:27.199056,0 days 00:00:02.039076,0.7617775257838408,1.6905151315443354,0.03847540429422127,2,36,90,4.0265360766631995,21.50331847468156,1.1556848940304008,0.6557821376076346,COMPLETE
74,0.5244790670673213,2026-05-11 02:44:27.200053,2026-05-11 02:44:28.673089,0 days 00:00:01.473036,0.7795240982048084,3.055694288774297,0.0455112038260427,2,39,156,5.585948980286776,17.570961185069578,1.2042400438514425,0.693271098945948,PRUNED
75,0.5280391678831771,2026-05-11 02:44:28.675094,2026-05-11 02:44:30.883005,0 days 00:00:02.207911,0.7698650171643467,1.1140865959940889,0.04845080918983255,2,41,147,5.191681445064917,31.995668934782806,1.3390246066166371,0.6626108464012767,COMPLETE
76,0.5226934264805913,2026-05-11 02:44:30.883999,2026-05-11 02:44:32.234224,0 days 00:00:01.350225,0.793328532284288,0.9567582404136239,0.043532514007113866,2,43,93,10.728381423340785,27.205640626527902,1.2886865855512784,0.6810516334723945,PRUNED
77,0.5243608807088952,2026-05-11 02:44:32.235224,2026-05-11 02:44:33.700049,0 days 00:00:01.464825,0.7327491287439551,1.4753359067805834,0.04219182709524468,2,37,70,4.69437839569235,28.680819582138223,1.319959981784423,0.6327418461495342,PRUNED
78,0.5212586260720025,2026-05-11 02:44:33.702059,2026-05-11 02:44:35.197317,0 days 00:00:01.495258,0.6635315821962565,0.6045541346244176,0.04866570369977766,2,33,99,13.095639462930018,24.423230762473324,1.024622345699397,0.7014451501633049,PRUNED
79,0.5015616012424001,2026-05-11 02:44:35.199315,2026-05-11 02:44:36.507812,0 days 00:00:01.308497,0.7466042649559197,1.3173497715865201,0.03943147962471918,1,29,169,4.227111333073889,25.996433110236545,1.1279353829452414,0.6694849540744476,PRUNED
80,0.5245345760964202,2026-05-11 02:44:36.508810,2026-05-11 02:44:37.934009,0 days 00:00:01.425199,0.7574632897324085,3.4256408784655035,0.049987566073849986,2,38,75,6.044664178326247,20.056899739282784,1.3034666445499827,0.6597386245404305,PRUNED
81,0.5311091751884094,2026-05-11 02:44:37.935010,2026-05-11 02:44:40.044076,0 days 00:00:02.109066,0.788227832966942,0.6884164303047651,0.03498049265587892,2,40,103,5.788190922235949,17.82401916171976,1.302312776930235,0.651235763240445,COMPLETE
82,0.5294730326488362,2026-05-11 02:44:40.046079,2026-05-11 02:44:41.507021,0 days 00:00:01.460942,0.7817515528103632,0.7564682801913498,0.03499990559343259,2,42,93,5.3205536429207445,16.818915281225067,1.319604502698871,0.6495583705081349,PRUNED
83,0.5297359491230883,2026-05-11 02:44:41.508020,2026-05-11 02:44:42.824651,0 days 00:00:01.316631,0.7995134043869463,0.8811987746946853,0.03324442535421033,2,41,104,4.564911286711719,18.657828226164057,1.109326299208375,0.6407642187694137,PRUNED
84,0.534862486979279,2026-05-11 02:44:42.825649,2026-05-11 02:44:44.682388,0 days 00:00:01.856739,0.7727151883036295,1.0643397920486923,0.03778911393632757,2,39,85,4.985044633161522,16.01476821351101,1.2793759297868594,0.7832731911871744,COMPLETE
85,0.5299792943241541,2026-05-11 02:44:44.683392,2026-05-11 02:44:46.117158,0 days 00:00:01.433766,0.7896912488998201,2.5645188334309426,0.0352040234346319,2,44,85,4.938842657282557,16.091270372634487,1.273002255179279,0.7848098972935317,PRUNED
86,0.5336366418683863,2026-05-11 02:44:46.119152,2026-05-11 02:44:48.089927,0 days 00:00:01.970775,0.770458637069767,0.5147177400071781,0.037925729399894505,2,40,111,4.24973937292312,46.35206863377919,1.2383893425021713,0.7575636110523732,COMPLETE
