number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
50,0.593192868719611,2026-05-10 20:33:51.831083,2026-05-10 20:33:52.591147,0 days 00:00:00.760064,0.9722191786816717,1.540676971542633,0.04698520343060028,8,6,371,5.054645672834696,4.928087242482137,0.9868568778831011,COMPLETE
51,0.594855305466238,2026-05-10 20:33:52.591147,2026-05-10 20:33:53.463158,0 days 00:00:00.872011,0.9755984897517163,0.9519061405158644,0.0420419500725282,8,6,380,4.649589623673922,4.609561066234672,0.9891798891811565,COMPLETE
52,0.5907590759075908,2026-05-10 20:33:53.464154,2026-05-10 20:33:54.405265,0 days 00:00:00.941111,0.9795220582702374,0.906256165349448,0.04443570340476157,9,6,384,4.668604036584696,4.049657531437008,0.9866878515948325,COMPLETE
53,0.5818815331010453,2026-05-10 20:33:54.405265,2026-05-10 20:33:55.586055,0 days 00:00:01.180790,0.9688722047439658,0.5723031227596072,0.0532345215305776,8,4,464,3.7925859411961294,4.781637837877477,0.993501063754941,COMPLETE
54,0.5896147403685092,2026-05-10 20:33:55.587059,2026-05-10 20:33:56.504152,0 days 00:00:00.917093,0.934285595966146,1.485490527724836,0.024297903849138252,7,5,306,5.179080079388724,2.4102640731603966,0.9746075203277922,COMPLETE
55,0.5782312925170068,2026-05-10 20:33:56.504152,2026-05-10 20:33:57.164012,0 days 00:00:00.659860,0.9577799611879043,1.2962118613141846,0.06939080928689775,8,6,353,2.5931488522224444,5.415654988170925,0.9576929212948069,COMPLETE
56,0.592,2026-05-10 20:33:57.165014,2026-05-10 20:33:57.924283,0 days 00:00:00.759269,0.9869391133657986,1.0701479066961515,0.030574022811848296,8,2,536,5.108381793483703,3.7291573787752625,0.9837118465106249,COMPLETE
57,0.5809682804674458,2026-05-10 20:33:57.924283,2026-05-10 20:33:58.674706,0 days 00:00:00.750423,0.9863349578756383,0.49818758862501344,0.042117683094234075,8,3,552,4.4220262431618655,3.8799695575819366,0.9837106958743237,COMPLETE
58,0.5859649122807018,2026-05-10 20:33:58.675839,2026-05-10 20:33:59.389525,0 days 00:00:00.713686,0.9654255033767348,1.0992543707901297,0.030730354994169498,10,3,444,5.117257292355347,5.499266253818355,0.9709080871020829,COMPLETE
59,0.584873949579832,2026-05-10 20:33:59.390548,2026-05-10 20:34:00.385951,0 days 00:00:00.995403,0.9438657958431393,0.7617787463607621,0.02112502602537904,9,1,504,5.747188370162029,2.964371180954866,0.9973704432799734,COMPLETE
60,0.5845648604269293,2026-05-10 20:34:00.385951,2026-05-10 20:34:00.909823,0 days 00:00:00.523872,0.9890943016148585,1.450157056065006,0.046066374516987335,8,2,386,4.065237114056194,3.54581997329927,0.9661805574510296,COMPLETE
61,0.5841269841269842,2026-05-10 20:34:00.909823,2026-05-10 20:34:01.505840,0 days 00:00:00.596017,0.9535117197634218,2.0028033003427734,0.04901029249462636,7,6,583,6.013149951884628,4.872304635414608,0.9531260384749791,COMPLETE
62,0.6016528925619835,2026-05-10 20:34:01.505840,2026-05-10 20:34:02.143917,0 days 00:00:00.638077,0.9063827433875944,1.7122034985648997,0.01776260147307446,6,7,528,4.650554420714841,4.084761012265943,0.98094381364186,COMPLETE
63,0.5814814814814815,2026-05-10 20:34:02.143917,2026-05-10 20:34:03.267879,0 days 00:00:01.123962,0.9310101965657235,0.9441088137964185,0.01787179840831039,9,5,540,4.8830275975189705,4.356268808925428,0.7556835553735665,COMPLETE
64,0.5894039735099338,2026-05-10 20:34:03.267879,2026-05-10 20:34:03.747401,0 days 00:00:00.479522,0.9052267465655632,1.535384983039945,0.03163821159069017,7,7,416,3.201756639864959,3.3142472312945785,0.9861712462546736,COMPLETE
65,0.5897435897435898,2026-05-10 20:34:03.747401,2026-05-10 20:34:04.346525,0 days 00:00:00.599124,0.9994315435064972,2.0783124279705607,0.024254605070888238,8,6,468,5.289156605418423,1.9130760410703775,0.9772866366805457,COMPLETE
66,0.5947712418300654,2026-05-10 20:34:04.346525,2026-05-10 20:34:04.898635,0 days 00:00:00.552110,0.8824826624377954,1.2107972423391251,0.027595045725624896,7,7,356,4.708423392350671,4.087103869134961,0.9920820366229373,COMPLETE
67,0.5919732441471572,2026-05-10 20:34:04.899631,2026-05-10 20:34:05.476625,0 days 00:00:00.576994,0.8772765804461011,1.271639541052064,0.02664655161559577,7,7,353,4.36047683181349,5.066539516771023,0.991420345097138,COMPLETE
68,0.5960912052117264,2026-05-10 20:34:05.476625,2026-05-10 20:34:06.015648,0 days 00:00:00.539023,0.8925939311305344,1.6861668378274701,0.018318528814953862,6,7,318,4.659103415558301,4.398190312892437,0.9674106712264683,COMPLETE
